               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11156,            0.030796,            0.040575,           0.0016932,             0.32532,           0.0017706,          0.00048881,            0.095898,            0.015852,            0.037033,              0.0892,              0.0012,              0.0012
                   1,            0.092386,            0.029289,            0.033954,             0.01823,             0.21697,            0.021191,            0.005857,            0.080918,            0.014997,            0.026216,            0.077475,           0.0024753,           0.0024753
                   2,            0.077081,            0.031871,            0.024835,             0.44403,             0.12655,            0.069395,            0.018286,            0.069603,            0.018403,            0.018693,            0.065725,           0.0037248,           0.0037248
                   3,            0.065913,            0.027913,            0.016072,             0.51051,             0.30925,             0.20424,            0.062456,             0.06599,            0.017929,           0.0089172,            0.053949,           0.0049485,           0.0049485
                   4,            0.063678,            0.026467,            0.013137,             0.48951,             0.34165,             0.18515,            0.059868,            0.064012,            0.014801,           0.0072003,            0.042147,           0.0061466,           0.0061466
                   5,            0.061725,            0.024777,            0.010829,             0.56469,             0.23864,             0.18743,            0.066212,            0.069417,            0.012341,            0.011069,            0.030319,           0.0073188,           0.0073188
                   6,             0.05783,            0.023839,           0.0086613,             0.59253,             0.29666,             0.26171,             0.09297,            0.066172,            0.014068,           0.0061871,            0.018465,           0.0084654,           0.0084654
                   7,            0.057398,            0.021427,           0.0068098,             0.54888,             0.26804,             0.24329,            0.094705,            0.063135,             0.01486,           0.0063072,            0.009307,            0.009307,            0.009307
                   8,            0.054576,             0.02301,           0.0058092,             0.37009,             0.31952,             0.23176,            0.083518,            0.070094,            0.028511,           0.0078545,            0.009307,            0.009307,            0.009307
                   9,             0.05172,            0.020351,           0.0051698,             0.35197,             0.48858,             0.34078,             0.12332,            0.056574,             0.01808,           0.0038405,            0.009208,            0.009208,            0.009208
                  10,            0.048634,            0.019989,           0.0051743,             0.65573,             0.38194,             0.39703,             0.13012,            0.059623,            0.014827,           0.0052301,            0.009109,            0.009109,            0.009109
                  11,            0.048346,            0.020793,           0.0047645,             0.35588,             0.44034,             0.34629,             0.12346,            0.055099,            0.016441,           0.0093046,             0.00901,             0.00901,             0.00901
                  12,            0.047032,            0.020654,           0.0049674,             0.51542,             0.54913,             0.47242,             0.18936,            0.051505,            0.012462,           0.0042995,            0.008911,            0.008911,            0.008911
                  13,            0.044104,            0.018577,           0.0037569,             0.43405,             0.54435,             0.44976,             0.19431,            0.050312,            0.011409,           0.0045466,            0.008812,            0.008812,            0.008812
                  14,            0.043999,            0.020639,           0.0043845,             0.49853,             0.42516,             0.35744,             0.13211,            0.054842,            0.012877,            0.007055,            0.008713,            0.008713,            0.008713
                  15,            0.043558,            0.018595,           0.0034728,             0.65812,             0.58646,              0.5535,             0.21753,            0.047901,            0.010866,            0.002657,            0.008614,            0.008614,            0.008614
                  16,            0.042017,            0.018328,           0.0028217,             0.70534,             0.59194,             0.63091,             0.29611,            0.047374,           0.0099999,           0.0023858,            0.008515,            0.008515,            0.008515
                  17,            0.041956,            0.017607,           0.0027582,              0.6907,             0.61501,             0.61721,             0.24393,            0.046357,             0.01046,           0.0038711,            0.008416,            0.008416,            0.008416
                  18,            0.040656,            0.018786,           0.0031577,             0.40515,             0.53584,             0.44911,             0.16913,            0.047935,            0.012123,            0.007004,            0.008317,            0.008317,            0.008317
                  19,            0.040322,            0.017321,           0.0028769,             0.63778,             0.61099,             0.61253,             0.28967,            0.047852,            0.010632,           0.0038238,            0.008218,            0.008218,            0.008218
                  20,            0.040866,              0.0184,           0.0022622,             0.68408,             0.55869,             0.57288,             0.25616,            0.045299,            0.011229,           0.0035748,            0.008119,            0.008119,            0.008119
                  21,            0.038501,            0.016791,           0.0023404,             0.64909,             0.66937,             0.67799,             0.31754,            0.045645,            0.010694,           0.0060943,             0.00802,             0.00802,             0.00802
                  22,            0.038803,            0.017664,           0.0023132,             0.62232,             0.60838,             0.62437,             0.26852,            0.044574,            0.010535,            0.003717,            0.007921,            0.007921,            0.007921
                  23,            0.038724,            0.017137,           0.0023894,             0.79224,             0.67206,              0.7208,             0.32605,            0.042662,           0.0097357,           0.0020001,            0.007822,            0.007822,            0.007822
                  24,             0.03727,            0.017265,           0.0029264,             0.80278,             0.66202,             0.72792,              0.3346,            0.041613,            0.010134,           0.0018258,            0.007723,            0.007723,            0.007723
                  25,            0.037918,            0.016517,           0.0025616,             0.67452,             0.66089,             0.63978,             0.25108,            0.045999,            0.010458,           0.0040382,            0.007624,            0.007624,            0.007624
                  26,            0.036981,            0.016828,           0.0022348,             0.63513,             0.67232,              0.6471,              0.3042,            0.042209,            0.010638,           0.0038289,            0.007525,            0.007525,            0.007525
