                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6871,                 3.8393,                 1.6489,                0.00336,                0.65237,                0.19428,                0.10671,                 1.5807,                 3.7804,                 1.6889,             0.00017148,             0.00017148,             0.00017148
                      2,                 1.6315,                 2.9546,                 1.5582,                0.00604,                0.76455,                0.28405,                0.13291,                 1.7703,                 3.6488,                  1.707,             0.00035371,             0.00035371,             0.00035371
                      3,                 1.5612,                 2.4316,                 1.5038,                0.84264,                0.12294,                0.30435,                0.15372,                 1.6571,                 3.3079,                 1.7457,             0.00053227,             0.00053227,             0.00053227
                      4,                 1.5805,                 2.2845,                 1.5186,                 0.3519,                0.27689,                0.23997,                0.11223,                 1.7651,                 3.3249,                 1.9004,             0.00070714,             0.00070714,             0.00070714
                      5,                 1.5856,                 2.1922,                 1.5197,                0.37848,                0.22656,                0.17032,                0.06129,                  2.049,                  4.203,                 2.2378,             0.00087834,             0.00087834,             0.00087834
                      6,                  1.581,                 2.1558,                 1.5062,                 0.4987,                0.17406,                0.12261,                0.04934,                 2.0778,                  3.601,                 2.1271,              0.0010459,              0.0010459,              0.0010459
                      7,                 1.6376,                 2.1441,                 1.6028,                0.61237,                0.20602,                0.19566,                0.08345,                  2.142,                 3.2834,                 2.2825,              0.0012097,              0.0012097,              0.0012097
                      8,                 1.6223,                  1.947,                 1.5826,                0.21385,                0.37354,                0.15659,                0.05274,                 2.5833,                  11.47,                 3.0361,                0.00133,                0.00133,                0.00133
                      9,                 1.6438,                 1.9143,                 1.5652,                0.20474,                0.28916,                0.17083,                0.07047,                 2.3664,                 6.3832,                 2.7348,                0.00133,                0.00133,                0.00133
                     10,                 1.6203,                 1.8351,                 1.5392,                0.48903,                0.18913,                0.20052,                0.07697,                 2.4283,                 4.3701,                 2.6648,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.6425,                 1.7611,                 1.5478,                0.11129,                0.14109,                0.06813,                0.02793,                 2.4177,                 5.5446,                  2.825,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.6008,                 1.7156,                 1.5355,                0.29115,                0.29592,                0.21275,                0.08526,                 2.2473,                 5.4373,                 2.4097,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.5451,                 1.6164,                 1.5073,                0.39463,                 0.4351,                0.37856,                0.17292,                 1.9541,                 2.4622,                 2.0087,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.5127,                 1.5613,                 1.4564,                0.37074,                0.36218,                0.33979,                0.16434,                 1.8964,                 2.3076,                 1.8786,              0.0012592,              0.0012592,              0.0012592
