                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61985,                0.43243,                 1.0329,                0.87215,                0.72746,                0.78623,                0.48149,                 1.5149,                0.87623,                 1.8619,             0.00054244,             0.00054244,             0.00054244
                      2,                0.65711,                0.45619,                 1.0437,                0.79684,                0.73923,                0.76681,                0.45171,                 1.5518,                0.92026,                 1.9126,              0.0010927,              0.0010927,              0.0010927
                      3,                0.70753,                0.49794,                 1.0678,                 0.7942,                0.64298,                0.73732,                0.43465,                 1.5864,                  1.016,                 1.8818,              0.0016374,              0.0016374,              0.0016374
                      4,                0.72558,                0.52248,                 1.0815,                0.80955,                0.68651,                 0.7802,                0.47612,                 1.4704,                 0.9097,                 1.7569,              0.0016422,              0.0016422,              0.0016422
                      5,                0.76156,                0.55754,                 1.0944,                 0.8095,                0.70125,                0.76132,                0.44689,                 1.5418,                0.98125,                 1.8128,              0.0016422,              0.0016422,              0.0016422
                      6,                0.78258,                0.56887,                 1.1182,                0.79651,                0.69501,                0.74861,                0.45223,                 1.5333,                0.97365,                 1.8396,               0.001634,               0.001634,               0.001634
                      7,                0.78931,                0.57865,                 1.1162,                0.82272,                0.64153,                0.72775,                0.43216,                 1.5294,                 1.0032,                 1.8397,              0.0016257,              0.0016257,              0.0016257
                      8,                0.79587,                0.58367,                 1.1341,                0.77145,                0.66115,                0.72026,                0.42241,                 1.5265,                0.99707,                 1.7621,              0.0016175,              0.0016175,              0.0016175
                      9,                0.77581,                 0.5598,                 1.1019,                0.81293,                0.66497,                0.72452,                0.44231,                 1.5226,                 1.0696,                 1.8129,              0.0016092,              0.0016092,              0.0016092
                     10,                0.80201,                0.57527,                 1.1387,                0.83898,                 0.6746,                0.73962,                0.43129,                 1.5213,                 0.9849,                  1.824,               0.001601,               0.001601,               0.001601
                     11,                0.80942,                0.58479,                 1.1383,                0.76621,                0.67971,                0.73491,                0.41122,                 1.6447,                 1.0474,                 1.9496,              0.0015927,              0.0015927,              0.0015927
                     12,                0.78229,                 0.5804,                 1.1099,                0.76001,                0.70181,                0.74153,                0.44234,                 1.5273,                0.99938,                 1.7857,              0.0015845,              0.0015845,              0.0015845
                     13,                0.79813,                0.58592,                 1.1301,                0.76421,                0.65571,                0.72057,                0.42075,                 1.5565,                 1.0445,                 1.8363,              0.0015762,              0.0015762,              0.0015762
                     14,                0.77718,                0.57195,                 1.1144,                 0.8023,                0.65519,                0.74901,                0.46519,                 1.5131,                 1.0183,                 1.7821,               0.001568,               0.001568,               0.001568
                     15,                0.78963,                 0.5619,                 1.1109,                0.80802,                0.74239,                0.79947,                0.49768,                 1.4749,                0.92072,                 1.7363,              0.0015597,              0.0015597,              0.0015597
                     16,                0.78946,                0.58804,                 1.1198,                 0.8264,                0.69558,                0.76729,                0.45886,                 1.4965,                0.93561,                 1.7593,              0.0015515,              0.0015515,              0.0015515
                     17,                0.80601,                0.57867,                 1.1333,                0.64273,                0.64301,                0.65268,                0.37153,                 1.6306,                 1.1067,                 1.8783,              0.0015432,              0.0015432,              0.0015432
                     18,                0.77771,                0.56359,                 1.1091,                0.78064,                0.68424,                0.75961,                  0.448,                 1.5799,                 1.0301,                 1.8268,               0.001535,               0.001535,               0.001535
                     19,                0.77268,                0.56468,                 1.1178,                0.82248,                0.66656,                0.75485,                0.44738,                 1.5291,                0.92608,                 1.7824,              0.0015267,              0.0015267,              0.0015267
                     20,                0.76632,                0.55643,                 1.1095,                0.83091,                0.73107,                0.80094,                0.49526,                  1.455,                0.86493,                 1.7385,              0.0015185,              0.0015185,              0.0015185
                     21,                0.76459,                0.54051,                 1.1075,                0.77478,                0.62642,                0.70397,                 0.4223,                  1.539,                  1.049,                 1.8065,              0.0015102,              0.0015102,              0.0015102
                     22,                 0.7753,                0.55995,                 1.1089,                0.85384,                0.70125,                 0.7777,                0.47503,                 1.5357,                0.97869,                 1.8416,               0.001502,               0.001502,               0.001502
                     23,                0.76252,                0.55599,                 1.1093,                0.77116,                0.68878,                0.72905,                 0.4374,                 1.5406,                 1.0014,                 1.7552,              0.0014937,              0.0014937,              0.0014937
                     24,                0.76416,                0.55805,                  1.108,                0.80563,                0.70351,                0.76108,                 0.4689,                 1.5164,                0.98664,                 1.7306,              0.0014855,              0.0014855,              0.0014855
                     25,                0.76273,                0.54292,                 1.1066,                0.83578,                0.70453,                0.76652,                 0.4547,                 1.5282,                0.92546,                 1.8098,              0.0014772,              0.0014772,              0.0014772
