                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7534,                  2.944,                 1.7686,                0.23947,                0.23866,                0.15519,                0.06043,                 2.1041,                 3.7817,                 2.2118,             0.00054244,             0.00054244,             0.00054244
                      2,                 1.8427,                 2.1536,                 1.8125,                0.07748,                0.09864,                0.03093,                0.00806,                 2.9332,                 11.997,                 3.5069,              0.0010927,              0.0010927,              0.0010927
                      3,                 1.8359,                 2.1112,                 1.8231,                0.11255,                0.10941,                0.03725,                0.00995,                  3.074,                 12.121,                 3.8686,              0.0016374,              0.0016374,              0.0016374
                      4,                 1.8418,                 2.0772,                 1.8417,                0.12541,                0.19388,                0.07669,                0.02461,                 2.6504,                   11.6,                 3.0329,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.8085,                 1.9973,                 1.8047,                0.26957,                0.20692,                0.19309,                0.06978,                 2.3329,                 3.3749,                 2.5276,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.7765,                 1.9742,                 1.7885,                 0.3597,                0.35034,                0.29671,                0.12867,                 1.9111,                 2.6025,                 1.9475,               0.001634,               0.001634,               0.001634
                      7,                 1.6836,                 1.8648,                 1.7093,                0.39634,                0.40533,                0.36607,                0.16114,                 1.9352,                 2.3107,                  1.989,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.6775,                 1.8151,                 1.6891,                0.27091,                0.21882,                0.16718,                0.06156,                 2.2732,                 2.7775,                 2.2011,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.6943,                 1.7827,                 1.6826,                0.52703,                0.40816,                0.43375,                0.19203,                 1.7758,                  2.154,                 1.8525,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.6689,                 1.7395,                 1.6949,                 0.6657,                0.41905,                0.49545,                0.21844,                 1.8698,                 2.0022,                 1.9728,               0.001601,               0.001601,               0.001601
                     11,                 1.6347,                 1.6852,                 1.6494,                0.54093,                 0.4987,                0.49262,                0.23526,                 1.7977,                 1.9588,                  1.847,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.5919,                 1.6207,                 1.6097,                0.56368,                0.51304,                 0.5241,                0.24568,                 1.7228,                 1.8591,                 1.7759,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.5594,                 1.5587,                 1.5922,                0.52501,                0.38328,                0.44089,                0.21152,                 1.8165,                  1.726,                 1.8376,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.5282,                 1.5187,                  1.582,                0.67746,                0.38322,                0.45939,                0.23361,                 1.7634,                 1.6111,                 1.7801,               0.001568,               0.001568,               0.001568
                     15,                 1.5408,                 1.4888,                 1.5927,                 0.5704,                0.54207,                0.54777,                0.25136,                 1.7641,                 1.6791,                 1.7795,              0.0015597,              0.0015597,              0.0015597
                     16,                 1.5151,                 1.4853,                 1.5598,                0.64239,                0.53939,                 0.5953,                0.29989,                 1.6746,                 1.5314,                 1.7346,              0.0015515,              0.0015515,              0.0015515
                     17,                  1.535,                 1.4629,                 1.5706,                0.55001,                0.52414,                0.53725,                 0.2673,                 1.7633,                 1.7561,                 1.7933,              0.0015432,              0.0015432,              0.0015432
                     18,                 1.5111,                 1.4428,                 1.5521,                0.63113,                0.51134,                0.55962,                0.29072,                 1.6613,                 1.6067,                 1.7414,               0.001535,               0.001535,               0.001535
                     19,                 1.4912,                 1.4328,                 1.5571,                0.74185,                0.54875,                0.64979,                 0.3405,                  1.615,                 1.4689,                 1.7283,              0.0015267,              0.0015267,              0.0015267
                     20,                  1.445,                 1.3536,                 1.5286,                  0.626,                0.54701,                0.60233,                0.33005,                 1.6064,                 1.4201,                 1.7097,              0.0015185,              0.0015185,              0.0015185
                     21,                 1.4643,                 1.3578,                 1.5412,                0.66355,                0.55798,                0.62271,                0.32177,                  1.636,                 1.4695,                 1.7124,              0.0015102,              0.0015102,              0.0015102
                     22,                  1.441,                 1.3373,                 1.5123,                0.54176,                0.57029,                0.56518,                0.29168,                 1.6494,                  1.487,                 1.6579,               0.001502,               0.001502,               0.001502
                     23,                 1.4569,                 1.3315,                 1.5241,                0.57541,                0.49943,                0.52544,                0.27228,                 1.6431,                 1.5389,                 1.7027,              0.0014937,              0.0014937,              0.0014937
                     24,                 1.4177,                 1.2907,                 1.4773,                0.71058,                 0.5754,                0.65966,                 0.3536,                 1.6516,                  1.339,                 1.6914,              0.0014855,              0.0014855,              0.0014855
                     25,                 1.4099,                 1.2688,                 1.4859,                0.74123,                0.56596,                0.63311,                0.31432,                  1.705,                 1.4053,                 1.7663,              0.0014772,              0.0014772,              0.0014772
                     26,                 1.4172,                 1.2411,                 1.4801,                0.69443,                 0.5323,                0.63054,                0.31785,                 1.6078,                 1.3631,                 1.6584,               0.001469,               0.001469,               0.001469
                     27,                 1.3679,                 1.2103,                 1.4573,                0.66104,                0.55896,                0.60396,                0.32616,                 1.5903,                 1.3913,                  1.634,              0.0014607,              0.0014607,              0.0014607
                     28,                 1.3766,                 1.2055,                 1.4588,                0.77427,                0.66213,                0.73531,                0.41794,                 1.5318,                 1.2416,                 1.6011,              0.0014525,              0.0014525,              0.0014525
                     29,                 1.3538,                  1.186,                 1.4436,                0.74191,                0.61279,                0.68289,                0.37757,                  1.554,                 1.2865,                 1.6319,              0.0014442,              0.0014442,              0.0014442
                     30,                  1.376,                 1.2208,                 1.4621,                0.77719,                0.58955,                0.67537,                0.37108,                 1.5662,                   1.28,                 1.6558,               0.001436,               0.001436,               0.001436
                     31,                 1.3644,                 1.1937,                 1.4475,                0.62728,                0.58686,                0.61442,                0.31446,                 1.6705,                 1.3574,                 1.7203,              0.0014277,              0.0014277,              0.0014277
                     32,                 1.3653,                 1.1829,                 1.4517,                0.72375,                 0.6268,                 0.7058,                0.39804,                 1.5406,                 1.1262,                 1.6005,              0.0014195,              0.0014195,              0.0014195
                     33,                 1.3326,                  1.134,                 1.4247,                 0.6919,                0.57313,                0.64585,                 0.3488,                 1.5919,                 1.2975,                 1.6686,              0.0014112,              0.0014112,              0.0014112
                     34,                 1.3346,                  1.171,                 1.4341,                 0.7436,                0.61612,                0.69177,                0.37927,                 1.5504,                 1.2619,                  1.613,              0.0014029,              0.0014029,              0.0014029
                     35,                   1.31,                 1.1107,                 1.4128,                0.71702,                 0.6559,                0.70429,                0.37214,                 1.5913,                 1.1827,                 1.6546,              0.0013947,              0.0013947,              0.0013947
                     36,                 1.3204,                 1.0942,                 1.4094,                 0.7215,                0.66336,                0.72188,                0.40209,                 1.5324,                 1.2077,                  1.594,              0.0013864,              0.0013864,              0.0013864
                     37,                 1.3078,                 1.1006,                 1.4057,                0.78725,                0.61905,                0.71209,                0.39406,                 1.5614,                 1.1597,                 1.6181,              0.0013782,              0.0013782,              0.0013782
                     38,                 1.3177,                 1.1113,                 1.4116,                0.73324,                0.67946,                0.72387,                0.40446,                 1.5148,                 1.1377,                  1.577,              0.0013699,              0.0013699,              0.0013699
                     39,                 1.2751,                 1.0679,                 1.3754,                0.70352,                0.60941,                0.68467,                0.36618,                 1.5589,                 1.2321,                 1.6157,              0.0013617,              0.0013617,              0.0013617
                     40,                 1.3046,                  1.076,                 1.4031,                0.76325,                0.63492,                0.73058,                0.41207,                 1.5657,                 1.1411,                 1.6399,              0.0013534,              0.0013534,              0.0013534
                     41,                 1.2681,                 1.0194,                 1.3741,                0.80176,                0.63492,                0.74914,                0.41092,                 1.5114,                 1.0776,                  1.584,              0.0013452,              0.0013452,              0.0013452
                     42,                 1.2563,                 1.0309,                 1.3683,                0.77083,                0.58249,                0.68745,                0.36466,                 1.6097,                 1.2122,                  1.639,              0.0013369,              0.0013369,              0.0013369
                     43,                 1.2364,                 1.0047,                 1.3716,                0.80566,                0.64792,                0.73362,                0.40671,                 1.5711,                 1.1378,                 1.6197,              0.0013287,              0.0013287,              0.0013287
                     44,                 1.2665,                 1.0012,                 1.3658,                0.77162,                0.70408,                0.76326,                 0.4396,                 1.4719,                 1.0332,                 1.5466,              0.0013204,              0.0013204,              0.0013204
                     45,                 1.2486,                 1.0134,                 1.3676,                0.77334,                0.66956,                0.73613,                0.41385,                 1.4812,                 1.0614,                 1.5651,              0.0013122,              0.0013122,              0.0013122
                     46,                 1.2414,                0.99457,                 1.3634,                 0.7408,                0.69444,                0.74148,                0.41882,                 1.5247,                  1.052,                 1.5989,              0.0013039,              0.0013039,              0.0013039
                     47,                 1.2225,                0.95574,                 1.3491,                0.77445,                0.67269,                0.75098,                0.43778,                 1.4751,                 1.0642,                 1.5474,              0.0012957,              0.0012957,              0.0012957
                     48,                 1.2077,                0.95194,                 1.3466,                0.75947,                0.73639,                0.76331,                0.44903,                 1.4388,                 1.0819,                 1.5278,              0.0012874,              0.0012874,              0.0012874
                     49,                 1.1782,                0.90965,                 1.3305,                0.80987,                0.65873,                0.75653,                0.43109,                 1.4713,                 1.0743,                 1.5453,              0.0012792,              0.0012792,              0.0012792
                     50,                 1.1909,                0.91133,                 1.3188,                0.81083,                0.66667,                0.75473,                0.43965,                 1.4809,                  1.062,                 1.5364,              0.0012709,              0.0012709,              0.0012709
                     51,                 1.1904,                0.92714,                 1.3218,                0.80387,                0.71165,                0.78067,                0.46444,                 1.4616,                0.99404,                 1.5452,              0.0012627,              0.0012627,              0.0012627
                     52,                 1.1891,                0.92186,                 1.3184,                0.83356,                 0.6774,                0.79357,                0.44416,                 1.5136,                 1.0722,                  1.597,              0.0012544,              0.0012544,              0.0012544
                     53,                 1.1769,                0.92393,                 1.3156,                0.77973,                0.65646,                 0.7434,                 0.4459,                 1.4665,                 1.0878,                 1.5401,              0.0012462,              0.0012462,              0.0012462
                     54,                 1.1623,                0.89977,                 1.3104,                0.77142,                0.64636,                0.72235,                0.40977,                  1.504,                 1.0782,                 1.5572,              0.0012379,              0.0012379,              0.0012379
                     55,                 1.1737,                0.86172,                 1.2986,                0.80606,                0.72293,                0.80797,                0.46543,                   1.46,                 1.0282,                 1.5396,              0.0012297,              0.0012297,              0.0012297
                     56,                 1.1743,                0.87263,                  1.298,                0.79108,                0.61168,                0.71765,                0.41359,                 1.4808,                 1.0533,                 1.5735,              0.0012214,              0.0012214,              0.0012214
                     57,                 1.1612,                0.89648,                  1.304,                0.72378,                0.61508,                0.68986,                0.37602,                 1.5782,                 1.1492,                 1.6563,              0.0012132,              0.0012132,              0.0012132
                     58,                 1.1631,                0.86403,                 1.2901,                0.82696,                0.69048,                  0.787,                0.45738,                 1.4317,                 1.0212,                 1.5257,              0.0012049,              0.0012049,              0.0012049
                     59,                  1.167,                0.88646,                 1.3038,                0.77805,                0.65816,                0.75219,                0.43886,                  1.474,                 1.0273,                 1.5286,              0.0011967,              0.0011967,              0.0011967
                     60,                  1.165,                0.88364,                 1.2955,                 0.8554,                0.70519,                0.80536,                0.47744,                 1.4382,                0.99037,                 1.5351,              0.0011884,              0.0011884,              0.0011884
                     61,                 1.1289,                0.85453,                 1.2771,                 0.8155,                0.72846,                0.79719,                0.47462,                  1.457,                0.97255,                 1.5527,              0.0011802,              0.0011802,              0.0011802
                     62,                 1.1341,                0.84801,                 1.2796,                0.80153,                 0.7153,                0.79415,                0.47851,                 1.4553,                0.95407,                 1.5217,              0.0011719,              0.0011719,              0.0011719
