                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9283,                 3.2946,                 2.0733,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,             0.00054244,             0.00054244,             0.00054244
                      2,                 2.1862,                 2.8906,                 2.2699,                      0,                0.00113,                      0,                      0,                 5.5317,                    inf,                 93.584,              0.0010927,              0.0010927,              0.0010927
                      3,                 2.0832,                 2.8217,                 2.1557,                0.00251,                0.02551,                0.00135,                0.00035,                 4.8262,                 31.645,                  10.84,              0.0016374,              0.0016374,              0.0016374
                      4,                 2.0619,                 2.6163,                 2.1332,                0.00499,                0.03741,                0.00171,                0.00032,                    nan,                    nan,                    nan,              0.0016422,              0.0016422,              0.0016422
                      5,                 2.0097,                 2.4766,                 2.0856,                0.01338,                0.04025,                0.00792,                 0.0022,                 3.6548,                 4.3377,                 7.0495,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.9178,                 2.4202,                 2.0307,                0.08701,                0.10431,                0.05028,                0.01674,                 2.6178,                 4.5452,                 2.8369,               0.001634,               0.001634,               0.001634
                      7,                 1.9113,                 2.3613,                 2.0164,                0.20275,                0.23753,                0.17489,                0.06002,                 2.2761,                 2.7744,                 2.4346,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.8788,                 2.2605,                 1.9579,                 0.2439,                0.35431,                0.24668,                0.10006,                 1.9394,                 2.3502,                 2.1268,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.8581,                 2.2305,                 1.9488,                0.25697,                0.27891,                0.22883,                0.08914,                 2.0163,                 2.6616,                 2.1757,              0.0016092,              0.0016092,              0.0016092
                     10,                  1.826,                 2.1458,                 1.9342,                0.33204,                0.31519,                0.25794,                0.09743,                 2.0901,                  2.459,                 2.1696,               0.001601,               0.001601,               0.001601
                     11,                  1.751,                 2.0633,                 1.8771,                0.36159,                 0.4178,                 0.3362,                0.14394,                  1.876,                 3.4746,                 2.0499,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.7525,                 2.0757,                 1.8609,                0.19774,                0.23866,                0.12966,                0.05387,                 2.2051,                 3.6133,                 2.4132,              0.0015845,              0.0015845,              0.0015845
