                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7046,                 2.7037,                 1.7636,                0.20247,                0.21937,                0.12989,                0.05287,                 2.3284,                 4.5482,                 2.6031,             0.00054592,             0.00054592,             0.00054592
                      2,                 1.7902,                 2.1376,                 1.8829,                0.01264,                0.16359,                0.00697,                0.00212,                 2.8042,                    inf,                 4.1675,              0.0010961,              0.0010961,              0.0010961
                      3,                 1.8293,                 2.0968,                 1.9025,                0.07428,                0.30445,                0.03495,                0.01128,                 2.7714,                 19.573,                 3.2188,              0.0016408,              0.0016408,              0.0016408
                      4,                 1.8403,                 2.1151,                 1.9003,                0.16573,                0.13939,                0.11035,                0.04126,                  2.421,                 6.3167,                 2.7778,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.7812,                 2.0038,                 1.8538,                0.27356,                0.27643,                0.20847,                  0.088,                 2.2528,                 2.9955,                 2.3991,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.7416,                 1.9528,                 1.8451,                0.37681,                0.38006,                0.29491,                0.10825,                 2.0143,                 2.5817,                 2.1499,               0.001634,               0.001634,               0.001634
                      7,                 1.6799,                 1.8599,                 1.7695,                0.36162,                0.31083,                0.23719,                0.09535,                 2.1413,                 2.5591,                 2.1601,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.6393,                 1.7946,                 1.7466,                 0.4404,                0.38466,                0.35235,                0.13476,                 2.0291,                 2.2113,                 2.1052,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.6133,                 1.7236,                 1.7117,                 0.5122,                0.48036,                0.45142,                 0.1888,                 1.9682,                 1.9844,                 2.0756,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.6018,                 1.6839,                 1.7136,                0.52117,                0.49193,                 0.4846,                0.23828,                 1.8695,                 1.8729,                 1.9509,               0.001601,               0.001601,               0.001601
                     11,                 1.5612,                 1.6281,                 1.6789,                  0.548,                0.48381,                0.47952,                0.22167,                 1.8007,                 1.8126,                 1.8846,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.5287,                 1.5436,                 1.6377,                0.61659,                0.51891,                0.55165,                0.26158,                 1.8196,                 1.6897,                 1.8977,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.5184,                 1.5428,                 1.6342,                0.62952,                0.52242,                0.57713,                0.29091,                 1.6667,                 1.5776,                 1.7841,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.4992,                 1.5246,                 1.6185,                0.58926,                0.52141,                0.53952,                0.27082,                 1.7331,                 1.6699,                 1.8325,               0.001568,               0.001568,               0.001568
                     15,                 1.4842,                 1.5253,                 1.6146,                0.54175,                0.46836,                0.47363,                0.22669,                 1.8192,                 1.9246,                 1.9131,              0.0015597,              0.0015597,              0.0015597
                     16,                 1.4757,                 1.4708,                 1.6082,                0.56232,                0.49748,                0.52366,                0.27042,                 1.7048,                 1.6725,                 1.8056,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.4746,                 1.4435,                 1.6084,                 0.6223,                 0.5317,                0.55299,                0.29351,                 1.6258,                 1.6342,                  1.768,              0.0015432,              0.0015432,              0.0015432
                     18,                 1.4887,                 1.4607,                 1.6082,                0.59723,                0.46357,                0.50885,                0.25276,                 1.7853,                  1.842,                  1.924,               0.001535,               0.001535,               0.001535
                     19,                 1.4388,                 1.3879,                 1.5799,                 0.7047,                0.51855,                0.59591,                0.29956,                 1.7048,                 1.5424,                 1.8177,              0.0015267,              0.0015267,              0.0015267
                     20,                 1.4355,                  1.375,                 1.5648,                0.66402,                0.52615,                0.59513,                0.29399,                 1.7634,                 1.6172,                 1.8561,              0.0015185,              0.0015185,              0.0015185
