               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11347,            0.052796,            0.041607,           0.0013864,             0.13429,          0.00091254,          0.00018249,             0.10117,            0.022501,            0.040237,               0.091,               0.001,               0.001
                   1,            0.094711,            0.035808,            0.036928,           0.0018051,             0.33541,           0.0057905,           0.0017437,            0.085989,            0.014823,            0.031892,            0.081086,           0.0020861,           0.0020861
                   2,            0.079282,            0.032215,             0.02863,             0.37291,            0.049874,            0.018579,           0.0048376,            0.077585,            0.013858,            0.027232,            0.071158,           0.0031578,           0.0031578
                   3,            0.068799,            0.031559,            0.021321,             0.39211,             0.11783,            0.042039,            0.012978,            0.069318,            0.016529,            0.015701,            0.061215,           0.0042149,           0.0042149
                   4,            0.063589,            0.028057,            0.015789,             0.48839,             0.21377,             0.13467,            0.041574,             0.06413,            0.015697,           0.0096345,            0.051257,           0.0052574,           0.0052574
                   5,            0.060526,            0.026801,             0.01227,             0.57836,             0.30321,             0.23234,            0.079707,            0.058452,            0.014289,           0.0072536,            0.041285,           0.0062855,           0.0062855
                   6,            0.059678,            0.025838,           0.0088969,             0.55851,             0.35499,             0.24469,            0.081446,            0.062818,            0.014065,           0.0088926,            0.031299,            0.007299,            0.007299
                   7,            0.057847,             0.02366,           0.0085692,             0.63221,             0.33615,             0.30281,             0.11414,            0.060603,            0.013172,           0.0069656,            0.021298,           0.0082981,           0.0082981
                   8,            0.055009,            0.023861,           0.0073397,             0.59674,             0.28131,             0.26249,            0.096628,            0.055984,            0.017256,           0.0066186,            0.011283,           0.0092826,           0.0092826
                   9,            0.055553,            0.022531,           0.0077895,             0.55488,             0.26215,             0.18467,            0.058948,            0.059803,            0.024021,            0.010246,            0.009406,            0.009406,            0.009406
                  10,            0.051978,             0.02333,           0.0067902,             0.58474,             0.32868,             0.26878,             0.10529,            0.053789,            0.022772,           0.0078029,            0.009406,            0.009406,            0.009406
                  11,            0.049277,            0.021881,           0.0064725,              0.3905,             0.43718,             0.33158,             0.12711,            0.049947,            0.014257,            0.008652,             0.00934,             0.00934,             0.00934
                  12,            0.048724,            0.022634,           0.0056383,             0.22663,             0.26134,             0.14968,            0.047911,            0.058086,            0.024112,            0.016756,            0.009274,            0.009274,            0.009274
