               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10165,            0.030193,            0.035979,           0.0023405,             0.54615,            0.005562,           0.0014543,            0.073966,            0.016649,            0.032893,            0.070638,           0.0032624,           0.0032624
                   1,            0.075899,             0.03074,            0.020593,             0.68907,             0.13725,            0.027895,           0.0080534,            0.067858,            0.017388,            0.027395,            0.040573,           0.0065304,           0.0065304
                   2,             0.06806,            0.027627,            0.012159,             0.65693,             0.22177,             0.10952,            0.036645,            0.062171,            0.016978,            0.027616,            0.010442,           0.0097325,           0.0097325
                   3,            0.063539,            0.024179,           0.0085625,             0.67725,             0.21147,             0.20455,            0.071156,            0.055974,            0.015665,            0.029909,            0.009703,            0.009703,            0.009703
                   4,            0.058097,            0.023802,           0.0068319,              0.6605,              0.2296,             0.28312,             0.12629,            0.053143,            0.017558,            0.030987,            0.009703,            0.009703,            0.009703
                   5,            0.055049,            0.022608,           0.0053925,             0.16708,             0.24595,             0.18405,            0.074834,            0.053884,            0.018648,            0.041494,            0.009604,            0.009604,            0.009604
                   6,            0.051275,            0.022051,           0.0046826,              0.7793,             0.15855,             0.18033,            0.072937,            0.054592,            0.016687,            0.079804,            0.009505,            0.009505,            0.009505
                   7,            0.050321,            0.021851,            0.004368,             0.37161,             0.24868,             0.18177,             0.11261,            0.051891,             0.01621,            0.038848,            0.009406,            0.009406,            0.009406
                   8,               0.049,            0.021306,           0.0038434,             0.61536,               0.166,             0.18321,            0.086592,            0.059181,            0.016578,            0.063295,            0.009307,            0.009307,            0.009307
                   9,            0.047686,            0.019742,           0.0032727,             0.71854,             0.22491,             0.19138,            0.068683,             0.05374,            0.015921,            0.052095,            0.009208,            0.009208,            0.009208
                  10,            0.045437,            0.019622,           0.0033954,             0.83149,             0.23431,              0.2549,              0.1052,             0.04802,            0.017649,             0.06191,            0.009109,            0.009109,            0.009109
                  11,            0.044402,            0.019842,           0.0030936,             0.62513,             0.17799,             0.24306,             0.14044,            0.049028,            0.019973,            0.025797,             0.00901,             0.00901,             0.00901
                  12,            0.043751,            0.019659,           0.0030399,             0.78426,             0.23962,             0.25694,             0.11804,            0.060353,            0.017015,            0.053999,            0.008911,            0.008911,            0.008911
                  13,            0.042976,            0.020149,           0.0025324,             0.21026,             0.37251,             0.26766,             0.10868,            0.049385,            0.017657,            0.035517,            0.008812,            0.008812,            0.008812
                  14,            0.041832,             0.01867,           0.0022797,             0.64817,             0.28516,             0.25989,             0.11817,            0.057145,            0.015269,            0.045728,            0.008713,            0.008713,            0.008713
                  15,            0.042351,            0.018913,           0.0025081,             0.59738,             0.23682,             0.26806,             0.10794,            0.054274,            0.016459,            0.043642,            0.008614,            0.008614,            0.008614
                  16,            0.040368,             0.01841,           0.0019914,             0.72889,             0.23778,             0.27949,             0.16055,            0.047735,            0.017384,            0.049839,            0.008515,            0.008515,            0.008515
                  17,            0.040683,            0.018734,           0.0020576,             0.73181,             0.22543,              0.2194,             0.11076,            0.053848,            0.016918,            0.079417,            0.008416,            0.008416,            0.008416
                  18,            0.040886,            0.018472,           0.0019256,             0.67969,             0.32456,             0.31679,             0.18244,            0.050987,            0.017354,            0.025825,            0.008317,            0.008317,            0.008317
                  19,            0.040414,             0.01754,           0.0023911,             0.79541,             0.24443,             0.24268,             0.11471,             0.05444,            0.018402,            0.047012,            0.008218,            0.008218,            0.008218
                  20,            0.038895,             0.01717,           0.0020959,              0.3574,             0.30091,             0.25435,             0.12753,            0.049697,            0.016529,            0.057789,            0.008119,            0.008119,            0.008119
                  21,             0.04032,            0.018148,           0.0023095,             0.77663,             0.26738,             0.29229,             0.14806,            0.054239,            0.017249,            0.050947,             0.00802,             0.00802,             0.00802
                  22,            0.038779,            0.017869,           0.0017606,             0.60447,             0.28926,             0.27014,              0.1575,            0.055033,             0.01785,            0.045969,            0.007921,            0.007921,            0.007921
                  23,            0.037842,            0.017572,           0.0020871,             0.62243,             0.25869,             0.24651,             0.12648,            0.052657,            0.017013,            0.059047,            0.007822,            0.007822,            0.007822
                  24,            0.038003,            0.017671,           0.0017276,             0.53765,             0.31981,             0.24026,             0.12034,            0.049246,            0.017564,            0.059776,            0.007723,            0.007723,            0.007723
                  25,            0.037572,            0.016907,            0.001659,              0.6743,              0.3533,             0.30932,             0.14711,            0.050976,            0.017943,            0.050705,            0.007624,            0.007624,            0.007624
                  26,            0.037542,            0.018075,           0.0018757,             0.58407,             0.25965,             0.20701,             0.10088,            0.050525,            0.017487,            0.049094,            0.007525,            0.007525,            0.007525
                  27,            0.036619,            0.016659,           0.0015109,             0.52287,             0.27082,             0.22061,             0.12967,            0.054047,            0.019352,            0.049336,            0.007426,            0.007426,            0.007426
                  28,            0.035918,            0.016916,           0.0015457,             0.60577,             0.27948,              0.2523,             0.14058,            0.048886,            0.018863,            0.038025,            0.007327,            0.007327,            0.007327
                  29,            0.035198,            0.016395,           0.0015042,             0.70113,             0.25996,             0.17654,             0.10889,            0.047659,            0.019035,            0.050586,            0.007228,            0.007228,            0.007228
                  30,            0.035842,            0.016839,           0.0013307,             0.64951,             0.17799,             0.24081,             0.12905,            0.053498,            0.019224,            0.053352,            0.007129,            0.007129,            0.007129
