               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090376,            0.030868,            0.021291,             0.63361,             0.14853,            0.099137,            0.026612,            0.064238,            0.017683,           0.0093069,            0.070714,            0.003254,            0.003254
                   1,            0.062921,            0.026606,           0.0094516,             0.67608,             0.21542,             0.24008,            0.075899,            0.060718,             0.01288,           0.0038125,            0.040682,           0.0065547,           0.0065547
                   2,            0.058564,             0.02314,           0.0059415,             0.31325,             0.42063,             0.22669,            0.083496,             0.05689,            0.016288,           0.0035742,            0.010616,           0.0098224,           0.0098224
                   3,            0.052631,            0.021463,           0.0043669,             0.46375,             0.52324,             0.49429,              0.2129,            0.051404,            0.013061,            0.001955,           0.0098515,           0.0098515,           0.0098515
                   4,            0.048291,            0.020451,           0.0035063,             0.44294,             0.45519,             0.39237,             0.17611,            0.047508,            0.013115,           0.0032855,           0.0098515,           0.0098515,           0.0098515
                   5,            0.046096,             0.01981,           0.0031066,             0.38324,              0.4059,             0.37651,             0.17228,            0.048818,            0.013144,           0.0025245,            0.009802,            0.009802,            0.009802
                   6,            0.043938,            0.019911,           0.0031234,             0.57429,             0.45784,             0.48183,             0.21095,            0.046229,            0.012727,           0.0023664,           0.0097525,           0.0097525,           0.0097525
                   7,            0.043179,            0.018824,           0.0029396,             0.69535,             0.47902,              0.5412,             0.24977,            0.044129,            0.012357,           0.0022705,            0.009703,            0.009703,            0.009703
                   8,            0.041708,            0.018141,           0.0024945,             0.65528,             0.59667,             0.64598,             0.29796,            0.042492,            0.011946,             0.00316,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039946,            0.018825,           0.0022437,             0.60845,             0.47676,                 0.5,             0.21031,            0.046489,            0.013694,           0.0027059,            0.009604,            0.009604,            0.009604
                  10,            0.040031,            0.018074,           0.0025129,             0.63672,             0.61274,             0.61233,             0.29779,            0.041712,            0.010931,           0.0020362,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039001,            0.017409,           0.0020687,             0.69326,             0.62485,             0.66279,             0.33242,            0.040531,            0.011435,            0.001759,            0.009505,            0.009505,            0.009505
                  12,            0.037274,            0.017088,           0.0022515,             0.75661,              0.4915,             0.56676,             0.27558,            0.043969,            0.012798,           0.0018926,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037742,            0.016796,           0.0022759,             0.65965,             0.58052,             0.59485,             0.28256,            0.043803,            0.011038,            0.003124,            0.009406,            0.009406,            0.009406
                  14,            0.037038,            0.016925,           0.0016215,              0.7522,             0.67376,              0.7311,             0.39476,            0.037933,            0.010597,           0.0012333,           0.0093565,           0.0093565,           0.0093565
                  15,            0.035678,            0.016395,           0.0020983,             0.68314,             0.64002,             0.67921,             0.35065,            0.041023,            0.010896,           0.0020434,            0.009307,            0.009307,            0.009307
                  16,            0.035364,            0.016436,           0.0018609,             0.74304,             0.64453,             0.70894,             0.37736,            0.038765,            0.010615,           0.0014563,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035718,            0.016041,           0.0017153,             0.78061,             0.68367,              0.7439,             0.39313,            0.039112,             0.01019,           0.0013914,            0.009208,            0.009208,            0.009208
                  18,             0.03477,             0.01574,           0.0014875,             0.76272,             0.66742,              0.7343,             0.38984,            0.038471,            0.010321,           0.0013121,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034947,            0.015888,           0.0016175,             0.78725,             0.72506,              0.7637,             0.39322,            0.038729,            0.010709,           0.0018679,            0.009109,            0.009109,            0.009109
                  20,            0.034144,            0.016039,           0.0018632,             0.80318,             0.74616,             0.79355,             0.43516,            0.037165,            0.009777,           0.0011377,           0.0090595,           0.0090595,           0.0090595
                  21,            0.033819,            0.015674,           0.0014846,             0.80037,             0.70351,             0.74241,             0.39088,            0.037718,            0.010392,           0.0012596,             0.00901,             0.00901,             0.00901
                  22,            0.032787,            0.015669,           0.0014886,             0.78583,             0.70699,             0.76663,             0.40073,             0.03849,            0.010667,           0.0017804,           0.0089605,           0.0089605,           0.0089605
                  23,            0.032536,            0.015679,           0.0012962,             0.79724,             0.79195,             0.82024,             0.44396,            0.037237,           0.0095025,            0.001554,            0.008911,            0.008911,            0.008911
                  24,            0.033035,            0.015224,           0.0013029,             0.79344,             0.73405,             0.77317,             0.42191,            0.035962,           0.0098615,           0.0011237,           0.0088615,           0.0088615,           0.0088615
                  25,            0.031459,            0.014668,           0.0012315,             0.77666,             0.76086,             0.79895,             0.43572,            0.035884,           0.0099979,           0.0017659,            0.008812,            0.008812,            0.008812
                  26,            0.031345,            0.014902,           0.0012616,             0.75581,             0.78061,             0.79769,             0.43221,            0.036181,           0.0096679,          0.00097356,           0.0087625,           0.0087625,           0.0087625
                  27,            0.031563,              0.0143,           0.0010802,             0.70162,             0.73923,             0.74171,             0.39832,            0.036813,             0.01013,           0.0013813,            0.008713,            0.008713,            0.008713
