               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10777,            0.030917,            0.027405,           0.0003268,            0.079365,          0.00023588,          6.6519e-05,             0.10142,            0.019049,            0.026514,            0.070714,            0.003254,            0.003254
                   1,            0.098237,            0.031322,            0.024783,          0.00038282,            0.092971,          0.00027711,          6.4573e-05,            0.094798,            0.019027,            0.025883,            0.040682,           0.0065547,           0.0065547
                   2,            0.091202,            0.029259,            0.018499,             0.50739,            0.055556,           0.0027203,          0.00075826,                 nan,                 nan,            0.085879,            0.010616,           0.0098224,           0.0098224
                   3,            0.082741,            0.027931,            0.011258,             0.51548,            0.048753,           0.0028747,          0.00092785,              0.1187,             0.21993,             0.66107,           0.0098515,           0.0098515,           0.0098515
                   4,            0.076976,            0.027383,           0.0091996,             0.54042,            0.054422,            0.015749,           0.0032974,            0.094916,            0.018572,           0.0089349,           0.0098515,           0.0098515,           0.0098515
                   5,            0.073503,            0.026933,           0.0078714,              0.5967,            0.099773,             0.07245,            0.018351,             0.07224,             0.01621,           0.0036037,            0.009802,            0.009802,            0.009802
                   6,            0.070175,            0.027602,           0.0077283,             0.58914,             0.11224,            0.064345,            0.017273,            0.067971,            0.015519,           0.0054108,           0.0097525,           0.0097525,           0.0097525
                   7,            0.067645,            0.027378,           0.0071656,             0.64444,             0.11338,            0.091196,            0.028355,            0.065724,            0.015411,           0.0088277,            0.009703,            0.009703,            0.009703
                   8,             0.06705,            0.026476,           0.0067543,             0.59792,             0.14059,            0.073336,            0.018818,            0.068118,             0.01398,            0.006903,           0.0096535,           0.0096535,           0.0096535
                   9,            0.064753,            0.027807,           0.0065566,             0.62369,             0.12245,            0.095285,            0.024224,             0.06481,            0.015667,           0.0027558,            0.009604,            0.009604,            0.009604
