               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097441,            0.028568,            0.022492,             0.52633,            0.066893,            0.014869,           0.0034912,            0.075737,            0.015351,            0.011228,            0.070714,            0.003254,            0.003254
                   1,            0.065473,            0.027611,            0.011157,             0.70628,             0.22562,             0.18472,            0.065076,            0.063401,            0.015124,           0.0044783,            0.040682,           0.0065547,           0.0065547
                   2,            0.061866,            0.024725,           0.0076529,              0.7369,             0.20635,             0.24385,            0.080928,            0.067283,            0.013129,            0.004556,            0.010616,           0.0098224,           0.0098224
                   3,            0.056008,            0.023465,            0.005273,             0.29589,             0.18311,             0.16539,            0.060602,            0.061236,            0.013603,           0.0047804,           0.0098515,           0.0098515,           0.0098515
                   4,            0.051751,            0.022617,           0.0038441,             0.46112,             0.30556,             0.28018,              0.1008,            0.052964,              0.0134,           0.0032629,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050199,            0.021636,           0.0037449,              0.5047,              0.3288,             0.34578,             0.14964,            0.049354,            0.013309,           0.0044739,            0.009802,            0.009802,            0.009802
                   6,            0.048142,            0.021734,           0.0037547,             0.42292,             0.51418,             0.44793,             0.19185,            0.045944,             0.01336,           0.0018805,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045843,            0.020629,           0.0029988,             0.58636,              0.5119,             0.54075,             0.21353,            0.047228,            0.012548,           0.0020157,            0.009703,            0.009703,            0.009703
                   8,            0.044801,            0.020068,           0.0029351,             0.49817,             0.42177,             0.42643,             0.16211,            0.047527,            0.012888,           0.0032592,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043576,            0.020401,           0.0023928,             0.52649,             0.43099,             0.43401,             0.17472,            0.048786,            0.011971,           0.0034602,            0.009604,            0.009604,            0.009604
                  10,            0.042522,            0.019486,           0.0025107,             0.54042,             0.59354,             0.56004,             0.25203,            0.044782,            0.011317,           0.0030736,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042244,            0.018929,           0.0021086,             0.67283,             0.56395,             0.63114,             0.29639,             0.04167,             0.01148,           0.0012229,            0.009505,            0.009505,            0.009505
                  12,            0.040781,             0.01866,           0.0020306,             0.65747,             0.56293,             0.62666,              0.2952,            0.041304,            0.011789,           0.0012322,           0.0094555,           0.0094555,           0.0094555
                  13,            0.040237,            0.018234,           0.0023823,             0.64295,             0.59902,             0.64329,             0.31057,            0.041448,            0.011193,           0.0021638,            0.009406,            0.009406,            0.009406
                  14,            0.039487,             0.01833,           0.0017647,             0.53851,             0.39002,              0.4344,             0.18321,            0.045137,            0.012365,           0.0045931,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038824,            0.017673,           0.0021024,             0.67747,             0.59751,             0.63741,             0.30805,            0.040329,            0.010933,           0.0033808,            0.009307,            0.009307,            0.009307
                  16,            0.038681,            0.018045,           0.0020727,             0.68829,             0.65722,             0.67701,             0.33859,            0.038872,            0.011215,            0.001507,           0.0092575,           0.0092575,           0.0092575
                  17,            0.038231,            0.017817,            0.001985,             0.71699,             0.64739,             0.69838,             0.34218,            0.039021,            0.010673,           0.0013959,            0.009208,            0.009208,            0.009208
                  18,            0.037644,            0.017401,           0.0018979,             0.68454,             0.59014,             0.63721,             0.29413,            0.042862,            0.011716,           0.0032489,           0.0091585,           0.0091585,           0.0091585
                  19,            0.037973,            0.017426,           0.0015689,             0.78162,             0.68537,             0.75481,              0.3705,            0.039699,            0.010322,           0.0011146,            0.009109,            0.009109,            0.009109
                  20,            0.036898,             0.01755,           0.0019008,              0.6837,             0.66837,             0.71946,             0.35131,            0.039569,            0.010407,           0.0013716,           0.0090595,           0.0090595,           0.0090595
                  21,            0.036343,            0.017031,           0.0013952,             0.81019,              0.6712,             0.74499,             0.38505,            0.039711,            0.010847,           0.0010963,             0.00901,             0.00901,             0.00901
                  22,            0.035814,            0.017278,           0.0015056,             0.74126,               0.661,             0.72206,             0.35866,            0.039581,            0.010668,           0.0011238,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036454,            0.017504,           0.0015125,             0.76629,             0.69728,             0.74924,             0.37628,            0.041416,            0.010524,           0.0016123,            0.008911,            0.008911,            0.008911
                  24,            0.035924,            0.016807,           0.0012885,             0.76274,             0.63549,             0.73795,             0.38575,            0.037367,            0.010226,          0.00093582,           0.0088615,           0.0088615,           0.0088615
                  25,            0.035459,            0.016556,           0.0015435,             0.78974,             0.64286,             0.73743,             0.40004,            0.037231,            0.010388,           0.0016335,            0.008812,            0.008812,            0.008812
                  26,            0.035076,            0.016949,           0.0015749,             0.70252,             0.58382,             0.65464,             0.32018,            0.041492,            0.011731,           0.0038907,           0.0087625,           0.0087625,           0.0087625
                  27,            0.035388,            0.016127,           0.0013346,             0.74299,             0.73526,              0.7883,             0.39631,            0.038069,             0.01006,          0.00097485,            0.008713,            0.008713,            0.008713
                  28,            0.034832,            0.016562,           0.0017723,             0.81665,             0.66723,             0.75568,             0.38872,             0.03861,            0.010301,           0.0015382,           0.0086635,           0.0086635,           0.0086635
                  29,            0.034723,            0.016755,           0.0013393,             0.74193,             0.67063,             0.73037,             0.36774,            0.038404,            0.010546,           0.0022486,            0.008614,            0.008614,            0.008614
                  30,            0.034805,            0.015964,           0.0012814,             0.71466,             0.65625,             0.71826,             0.37712,            0.038153,            0.010838,           0.0010315,           0.0085645,           0.0085645,           0.0085645
                  31,            0.033803,            0.015559,           0.0013973,             0.77589,             0.71984,             0.76651,             0.40217,            0.036899,            0.010738,           0.0012063,            0.008515,            0.008515,            0.008515
                  32,            0.033679,            0.016141,           0.0012106,             0.82726,             0.71825,             0.78362,             0.40937,            0.037062,            0.010038,           0.0015323,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032607,            0.015376,           0.0012725,             0.73709,             0.69274,              0.7154,             0.37465,            0.038482,            0.010501,           0.0012714,            0.008416,            0.008416,            0.008416
                  34,            0.033905,            0.015614,           0.0017388,             0.76718,             0.66223,              0.7153,             0.36797,            0.037445,            0.010342,           0.0013058,           0.0083665,           0.0083665,           0.0083665
                  35,            0.033575,            0.015939,           0.0014691,             0.79055,             0.70349,             0.78531,             0.43035,             0.03564,            0.010024,           0.0013699,            0.008317,            0.008317,            0.008317
                  36,            0.032326,            0.015676,            0.001206,             0.77085,             0.68883,             0.75466,             0.38405,            0.036891,            0.010519,           0.0011116,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03257,            0.014926,           0.0010872,             0.80625,             0.68355,             0.78042,             0.41335,             0.03713,            0.010421,           0.0010841,            0.008218,            0.008218,            0.008218
                  38,             0.03229,            0.015778,           0.0010579,              0.8036,             0.75213,             0.81479,             0.43547,            0.035601,           0.0098561,           0.0011269,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03272,            0.015694,            0.001059,             0.79489,             0.72483,             0.79308,             0.41391,            0.036323,           0.0099589,           0.0010835,            0.008119,            0.008119,            0.008119
                  40,            0.031188,             0.01555,           0.0011067,             0.76856,             0.72392,             0.75141,             0.40552,            0.036613,            0.010184,           0.0010848,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031835,            0.015174,            0.001135,             0.76385,             0.73262,             0.79706,             0.43187,            0.036122,           0.0098282,            0.001198,             0.00802,             0.00802,             0.00802
                  42,            0.031518,            0.014986,           0.0010816,             0.81799,             0.73923,             0.79822,             0.43265,             0.03632,            0.010191,           0.0011581,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031331,            0.014818,           0.0013852,             0.79526,             0.75212,             0.79467,              0.4282,            0.036239,            0.010051,           0.0012041,            0.007921,            0.007921,            0.007921
                  44,            0.031722,            0.015378,           0.0010224,             0.82187,             0.73881,             0.81243,             0.44914,            0.035467,            0.009912,           0.0010292,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031165,            0.015245,           0.0015389,             0.76223,                0.75,             0.79821,             0.44111,            0.036732,           0.0097291,            0.001371,            0.007822,            0.007822,            0.007822
                  46,             0.03124,            0.015239,           0.0011886,             0.76587,             0.73583,             0.79389,             0.43489,             0.03618,           0.0097591,           0.0011481,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030161,            0.014904,          0.00096984,             0.83816,             0.75954,             0.82911,             0.45617,            0.035319,           0.0098372,           0.0010356,            0.007723,            0.007723,            0.007723
                  48,            0.030411,            0.015111,           0.0010234,             0.83631,             0.78626,             0.82051,             0.46872,            0.036125,            0.010078,           0.0011925,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030044,            0.014368,           0.0011314,             0.77195,             0.71315,             0.75727,             0.41207,             0.03695,            0.010127,           0.0012457,            0.007624,            0.007624,            0.007624
                  50,             0.03053,            0.014146,           0.0010638,             0.84515,             0.75057,             0.81523,             0.45278,            0.035465,           0.0099425,           0.0014006,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030004,            0.015243,          0.00079096,             0.81408,             0.73967,             0.80676,             0.44805,            0.035317,            0.010031,           0.0008747,            0.007525,            0.007525,            0.007525
                  52,            0.030561,            0.014462,          0.00068511,              0.8485,             0.76975,              0.8249,             0.46571,            0.035225,           0.0096138,          0.00079948,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029117,            0.013944,          0.00089832,             0.83576,             0.75329,             0.82711,              0.4664,            0.035824,           0.0098537,          0.00087494,            0.007426,            0.007426,            0.007426
