               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086606,             0.02986,            0.021264,             0.64171,             0.14853,             0.10084,            0.034315,            0.062348,            0.015516,           0.0080091,            0.070714,            0.003254,            0.003254
                   1,            0.061784,             0.02643,           0.0095976,             0.27532,             0.44501,             0.24502,            0.089949,            0.062288,            0.012532,           0.0040311,            0.040682,           0.0065547,           0.0065547
                   2,            0.058269,            0.022608,           0.0061922,             0.46083,             0.47959,             0.36704,             0.12856,            0.055707,            0.013405,           0.0024877,            0.010616,           0.0098224,           0.0098224
                   3,            0.051031,            0.021145,           0.0045745,             0.53557,             0.51757,             0.49694,             0.21723,            0.050004,            0.013087,            0.002182,           0.0098515,           0.0098515,           0.0098515
                   4,            0.047105,            0.020563,           0.0037073,             0.54788,             0.38605,             0.40286,             0.16155,            0.049559,            0.012528,           0.0023361,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045907,            0.020057,           0.0035382,             0.51727,             0.43188,             0.42321,              0.1746,             0.04887,            0.012272,           0.0031374,            0.009802,            0.009802,            0.009802
                   6,            0.044032,            0.020214,           0.0034661,             0.55018,             0.52334,             0.52732,             0.23413,            0.045425,            0.012549,           0.0025178,           0.0097525,           0.0097525,           0.0097525
                   7,            0.042431,            0.019398,           0.0029899,             0.47262,             0.48794,             0.43825,             0.19088,            0.046039,            0.014628,           0.0021853,            0.009703,            0.009703,            0.009703
                   8,            0.042462,            0.018547,            0.002501,             0.59786,             0.62528,             0.62983,             0.31724,            0.040358,            0.012137,           0.0025155,           0.0096535,           0.0096535,           0.0096535
                   9,            0.040653,            0.019435,           0.0027478,              0.6983,             0.52211,             0.58007,             0.25093,            0.042765,              0.0118,           0.0063024,            0.009604,            0.009604,            0.009604
                  10,            0.040365,            0.018647,           0.0026564,             0.58201,             0.44143,             0.48859,             0.23649,            0.045722,            0.012075,           0.0023212,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039699,            0.017918,           0.0023538,             0.61198,             0.53572,             0.56668,              0.2891,            0.040191,            0.011506,           0.0025872,            0.009505,            0.009505,            0.009505
                  12,            0.038045,            0.017683,           0.0023682,               0.623,             0.52324,             0.52571,             0.24373,            0.042681,            0.012907,           0.0022812,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037832,            0.017453,           0.0022908,             0.60989,             0.63719,             0.65222,             0.30983,            0.041305,             0.01103,            0.002549,            0.009406,            0.009406,            0.009406
                  14,            0.037556,            0.017468,           0.0020652,             0.71401,             0.59796,             0.64336,             0.32551,            0.040476,            0.011264,           0.0015489,           0.0093565,           0.0093565,           0.0093565
                  15,            0.037072,            0.017009,           0.0021979,             0.72108,             0.61961,              0.6636,             0.34419,            0.044178,            0.011255,           0.0025875,            0.009307,            0.009307,            0.009307
                  16,            0.036626,             0.01706,           0.0021207,             0.77822,             0.63233,             0.73069,              0.3918,            0.038278,             0.01076,           0.0016233,           0.0092575,           0.0092575,           0.0092575
                  17,            0.036476,            0.016992,           0.0019749,             0.69671,             0.64326,             0.68038,             0.35712,            0.037207,            0.010802,           0.0011317,            0.009208,            0.009208,            0.009208
                  18,            0.035504,            0.016378,           0.0020259,              0.6796,             0.56341,             0.62948,              0.3172,            0.040907,            0.011687,           0.0063812,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034876,            0.016553,           0.0017123,             0.82259,             0.63442,             0.73439,             0.37947,            0.038959,            0.010561,           0.0014149,            0.009109,            0.009109,            0.009109
                  20,            0.034754,            0.016805,           0.0019098,             0.73678,             0.71769,             0.74431,             0.39896,            0.039225,            0.010756,           0.0012388,           0.0090595,           0.0090595,           0.0090595
                  21,            0.034488,            0.015968,           0.0015144,             0.79319,             0.65155,             0.72027,             0.40015,            0.038801,            0.010528,            0.001707,             0.00901,             0.00901,             0.00901
                  22,            0.033389,            0.016326,           0.0017259,             0.76765,             0.62731,             0.73423,              0.3848,            0.038267,            0.010254,           0.0013305,           0.0089605,           0.0089605,           0.0089605
                  23,            0.033221,            0.016182,           0.0014423,             0.81302,             0.72959,             0.78264,              0.4464,            0.036472,            0.010036,           0.0019385,            0.008911,            0.008911,            0.008911
                  24,            0.033552,            0.015876,           0.0013803,             0.71599,             0.74233,              0.7665,             0.40087,            0.035992,            0.010043,            0.001134,           0.0088615,           0.0088615,           0.0088615
                  25,            0.032539,             0.01556,           0.0016981,             0.74101,             0.77721,             0.78522,             0.44228,            0.036163,            0.010067,           0.0019535,            0.008812,            0.008812,            0.008812
                  26,            0.032551,            0.015743,           0.0013487,             0.68726,             0.62982,             0.68441,             0.37685,            0.037005,            0.010889,           0.0011959,           0.0087625,           0.0087625,           0.0087625
                  27,            0.032179,            0.015019,           0.0015402,             0.72142,             0.73129,             0.76077,             0.42295,             0.03825,            0.010007,           0.0019613,            0.008713,            0.008713,            0.008713
                  28,            0.032234,            0.015241,           0.0018625,             0.76061,             0.70002,             0.75968,             0.41245,            0.036438,            0.010103,           0.0017482,           0.0086635,           0.0086635,           0.0086635
                  29,            0.030963,             0.01576,           0.0015682,             0.77213,              0.7398,               0.774,             0.42828,            0.037445,            0.009899,           0.0018819,            0.008614,            0.008614,            0.008614
                  30,            0.031663,            0.014829,           0.0014915,             0.87755,             0.68268,             0.78224,              0.4212,            0.035981,           0.0099847,            0.001437,           0.0085645,           0.0085645,           0.0085645
                  31,            0.030861,            0.014625,           0.0013528,             0.80588,             0.71405,              0.7722,             0.43704,            0.037449,            0.010138,           0.0017141,            0.008515,            0.008515,            0.008515
                  32,            0.030982,            0.015056,           0.0014701,             0.76793,             0.77381,             0.78835,             0.43578,            0.035266,            0.010236,           0.0018605,           0.0084655,           0.0084655,           0.0084655
                  33,            0.029952,             0.01418,           0.0012679,              0.8323,             0.71092,             0.77646,              0.4397,            0.035704,           0.0098284,           0.0025728,            0.008416,            0.008416,            0.008416
                  34,            0.030453,            0.014199,           0.0013591,             0.78347,             0.74319,             0.78708,              0.4526,            0.035004,           0.0098104,           0.0019204,           0.0083665,           0.0083665,           0.0083665
                  35,            0.029815,            0.014567,           0.0014193,             0.86895,             0.72959,             0.82401,             0.45924,            0.035629,           0.0098954,           0.0014191,            0.008317,            0.008317,            0.008317
                  36,            0.029046,            0.014566,            0.001398,             0.81421,             0.73691,             0.77729,             0.43101,            0.036387,           0.0099366,           0.0016369,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029817,             0.01392,           0.0011859,             0.83679,             0.74096,             0.79591,             0.43908,            0.036619,           0.0098586,           0.0013389,            0.008218,            0.008218,            0.008218
                  38,            0.029237,            0.014492,            0.000936,             0.81562,             0.80084,             0.82926,             0.48979,            0.035024,           0.0098191,           0.0012835,           0.0081685,           0.0081685,           0.0081685
