                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80568,                0.58676,                 1.1453,                0.83659,                0.71387,                0.77953,                0.48083,                  1.464,                0.92903,                 1.7098,             0.00054244,             0.00054244,             0.00054244
                      2,                0.89371,                 0.6473,                 1.1758,                0.84451,                0.63039,                0.74927,                 0.4278,                 1.5613,                 1.0087,                 1.7889,              0.0010927,              0.0010927,              0.0010927
                      3,                0.96122,                0.74769,                 1.2202,                0.72562,                0.60313,                0.69521,                0.40147,                 1.5461,                 1.3188,                 1.7805,              0.0016374,              0.0016374,              0.0016374
                      4,                 1.0101,                 0.8116,                 1.2632,                0.72714,                 0.6522,                0.68053,                0.36685,                 1.5897,                 1.1529,                 1.7549,              0.0016422,              0.0016422,              0.0016422
                      5,                 1.0817,                0.87905,                 1.3001,                0.65696,                0.62126,                0.63977,                0.33727,                 1.6782,                 1.1821,                  1.895,              0.0016422,              0.0016422,              0.0016422
                      6,                 1.0793,                0.87443,                 1.3173,                 0.7193,                0.67759,                0.71952,                0.41114,                 1.5093,                 1.1377,                 1.7226,               0.001634,               0.001634,               0.001634
                      7,                 1.0441,                0.84776,                 1.2854,                 0.7093,                0.62529,                 0.6638,                0.34504,                 1.6947,                 1.2908,                 1.9046,              0.0016257,              0.0016257,              0.0016257
                      8,                 1.0641,                0.86022,                 1.3084,                0.74391,                0.70566,                0.74583,                0.43169,                 1.5296,                 1.0945,                 1.7296,              0.0016175,              0.0016175,              0.0016175
                      9,                 1.0773,                 0.8719,                 1.2967,                0.66281,                0.60771,                0.63769,                0.33805,                 1.6605,                 1.1803,                 1.9047,              0.0016092,              0.0016092,              0.0016092
                     10,                 1.0845,                0.86524,                 1.3388,                0.70062,                0.68819,                0.72363,                0.41332,                 1.5596,                 1.0524,                  1.784,               0.001601,               0.001601,               0.001601
                     11,                 1.0514,                 0.8468,                 1.3005,                 0.8332,                0.60462,                0.72126,                0.40451,                 1.6338,                 1.2439,                 1.8286,              0.0015927,              0.0015927,              0.0015927
                     12,                 1.0971,                0.89611,                 1.3226,                0.71268,                0.62812,                0.67288,                0.37252,                 1.6173,                 1.2041,                 1.8553,              0.0015845,              0.0015845,              0.0015845
                     13,                 1.0735,                0.86173,                 1.3089,                0.77088,                0.65306,                0.73819,                0.44165,                 1.4943,                 1.1038,                 1.6944,              0.0015762,              0.0015762,              0.0015762
                     14,                 1.0409,                0.84269,                 1.2891,                0.73516,                0.71259,                0.77154,                0.43412,                 1.5555,                 1.0617,                 1.7506,               0.001568,               0.001568,               0.001568
                     15,                 1.0711,                0.81855,                 1.3012,                 0.8002,                0.62113,                0.74001,                0.41274,                 1.5329,                 1.0857,                  1.748,              0.0015597,              0.0015597,              0.0015597
                     16,                 1.0583,                0.86321,                 1.3023,                0.79734,                0.61708,                0.69117,                0.39702,                 1.6143,                 1.1302,                 1.8054,              0.0015515,              0.0015515,              0.0015515
                     17,                 1.0674,                0.80955,                 1.3006,                 0.7829,                0.64796,                0.74666,                 0.4324,                  1.554,                 1.0881,                 1.7573,              0.0015432,              0.0015432,              0.0015432
                     18,                 1.0467,                0.82943,                 1.2882,                0.79371,                0.64229,                0.71491,                0.42237,                 1.5641,                 1.2022,                 1.8006,               0.001535,               0.001535,               0.001535
                     19,                 1.0549,                0.83424,                 1.3103,                0.76958,                 0.6746,                0.73844,                0.42289,                 1.5615,                 1.0886,                  1.765,              0.0015267,              0.0015267,              0.0015267
                     20,                 1.0511,                0.82618,                 1.3047,                0.79261,                0.58878,                0.68279,                0.38387,                 1.6556,                 1.2508,                 1.8202,              0.0015185,              0.0015185,              0.0015185
                     21,                 1.0262,                 0.7869,                 1.2865,                0.81238,                0.65826,                0.74848,                0.44065,                 1.5166,                 1.0507,                 1.7403,              0.0015102,              0.0015102,              0.0015102
                     22,                 1.0116,                0.77937,                 1.2682,                 0.7649,                0.71528,                0.77623,                0.46942,                 1.4896,                 1.0412,                 1.7036,               0.001502,               0.001502,               0.001502
                     23,                 1.0324,                0.80379,                  1.283,                0.71373,                 0.6278,                0.68788,                0.39234,                  1.613,                 1.1764,                 1.7873,              0.0014937,              0.0014937,              0.0014937
                     24,                 1.0151,                0.79367,                 1.2663,                0.79773,                0.71429,                0.77548,                 0.4531,                 1.5091,                0.97927,                 1.7044,              0.0014855,              0.0014855,              0.0014855
                     25,                 1.0035,                0.76155,                 1.2618,                0.83121,                0.65926,                0.74343,                0.44933,                 1.5152,                 1.0891,                 1.7393,              0.0014772,              0.0014772,              0.0014772
                     26,                 1.0358,                0.80422,                 1.2796,                  0.721,                 0.6678,                 0.7076,                0.40233,                 1.5223,                 1.1173,                 1.7478,               0.001469,               0.001469,               0.001469
                     27,                 1.0056,                0.77323,                 1.2642,                0.78719,                 0.7466,                0.78667,                0.45385,                 1.5051,                0.92541,                 1.7141,              0.0014607,              0.0014607,              0.0014607
                     28,                0.99108,                0.76457,                 1.2554,                0.79049,                0.62415,                0.70286,                0.39367,                 1.5714,                  1.047,                 1.7531,              0.0014525,              0.0014525,              0.0014525
                     29,                 0.9984,                0.74096,                 1.2613,                0.79154,                0.54025,                0.65446,                0.37552,                 1.6117,                 1.2767,                 1.7801,              0.0014442,              0.0014442,              0.0014442
                     30,                 1.0032,                0.76504,                 1.2699,                0.81477,                0.65024,                0.74767,                0.44311,                 1.5265,                 0.9856,                  1.777,               0.001436,               0.001436,               0.001436
                     31,                0.98884,                0.76489,                 1.2536,                0.85504,                 0.6129,                0.70757,                0.41769,                 1.5003,                  1.089,                 1.7189,              0.0014277,              0.0014277,              0.0014277
                     32,                0.97863,                 0.7458,                  1.251,                0.84459,                0.70975,                0.79738,                0.47149,                 1.5132,                0.97428,                 1.7256,              0.0014195,              0.0014195,              0.0014195
                     33,                0.98974,                0.75497,                 1.2552,                0.84378,                0.68084,                0.78184,                0.45575,                 1.5073,                 1.0091,                  1.724,              0.0014112,              0.0014112,              0.0014112
                     34,                0.96144,                0.75796,                 1.2412,                0.81285,                0.71259,                0.77934,                0.47585,                 1.4753,                0.98413,                  1.725,              0.0014029,              0.0014029,              0.0014029
                     35,                0.96094,                0.72807,                 1.2452,                0.78545,                0.73393,                0.79623,                0.47297,                 1.4866,                0.94877,                 1.7352,              0.0013947,              0.0013947,              0.0013947
                     36,                0.97744,                0.73399,                 1.2393,                0.64139,                0.61961,                0.65308,                0.36569,                  1.624,                 1.2834,                 1.8172,              0.0013864,              0.0013864,              0.0013864
                     37,                0.96523,                0.73299,                 1.2356,                  0.768,                0.70395,                0.76062,                0.44475,                  1.477,                0.94601,                 1.7298,              0.0013782,              0.0013782,              0.0013782
                     38,                0.97374,                0.73773,                 1.2431,                0.79511,                0.60591,                0.71298,                0.41273,                 1.5441,                 1.0441,                 1.7691,              0.0013699,              0.0013699,              0.0013699
                     39,                0.96008,                0.72246,                 1.2358,                0.78778,                0.71427,                0.76096,                 0.4503,                 1.5131,                0.94775,                 1.7256,              0.0013617,              0.0013617,              0.0013617
                     40,                0.98174,                 0.7398,                  1.251,                0.74226,                0.67734,                0.73584,                0.42977,                 1.4964,                0.99422,                 1.7061,              0.0013534,              0.0013534,              0.0013534
